Authors,Title,Year,Source,,
"Orczyk, C; Rusinek, H; Rosenkrantz, A.B; Mikheev, A; Deng, F.-M; Melamed, J; Taneja, S.S.",Preliminary experience with a novel method of three-dimensional co-registration of prostate cancer digital histology and in vivo multiparametric MRI,2013,Clinical Radiology,,
"Heijnen, L.A; Lambregts, D.M.J; Mondal, D; Martens, M.H; Riedl, R.G; Beets, G.L; Beets-Tan, R.G.H.",Diffusion-weighted MR imaging in primary rectal cancer staging demonstrates but does not characterise lymph nodes,2013,European Radiology,,
"Di Martino, M; Di Miscio, R; De Filippis, G; Lombardo, C.V; Saba, L; Geiger, D; Catalano, C.",Detection of small (___2 cm) HCC in cirrhotic patients: Added value of diffusion MR-imaging,2013,Abdominal Imaging,,
"Ouriadov, A; Farag, A; Kirby, M; McCormack, D.G; Parraga, G; Santyr, G.E.",Lung morphometry using hyperpolarized 129Xe apparent diffusion coefficient anisotropy in chronic obstructive pulmonary disease,2013,Magnetic Resonance in Medicine,,
"Suzuki, Y.",In-vivo analysis for human brain maturation using MRI,2013,Clinical Neurology,,
"Bozzali, M; Parker, G.J.M; Span’_, B; Serra, L; Giulietti, G; Perri, R; Magnani, G; Marra, C; G.Vita, M; Caltagirone, C; Cercignani, M.",Brain tissue modifications induced by cholinergic therapy in Alzheimer's disease,2013,Human Brain Mapping,,
"De Vendin, C; Eydant, Y; Ecochard, R; Lorin, S; Lacroix, B; Lardon, R; Mottet, N.",Preoperative endorectal MRI in prostate cancer: A monocentric retrospective cohort | Place de l'IRM prostatique avant prostatectomie radicale: Cohorte monocentrique r’©trospective,2013,Progres en Urologie,,
"Faye, N; Pellerin, O; Thiam, R; Chammings, F; Brisa, M; Marques, E; Cu’©nod, C.A; Sapoval, M; Fournier, L.S.",Diffusion-weighted imaging for evaluation of uterine arterial embolization of fibroids,2013,Magnetic Resonance in Medicine,,
"Guo, Y; Yaghmai, V; Salem, R; Lewandowski, R.J; Nikolaidis, P; Larson, A.C; Miller, F.H.",Imaging tumor response following liver-directed intra-arterial therapy,2013,Abdominal Imaging,,
"Harada, M.",Cutting-edge of advanced MRI for demyelinating diseases,2013,Clinical Neurology,,
"Binenbaum, G; Christian, C.W; Ichord, R.N; Ying, G.-S; Simon, M.A; Romero, K; Pollock, A.N; Forbes, B.J.",Retinal hemorrhage and brain injury patterns on diffusion-weighted magnetic resonance imaging in children with head trauma,2013,Journal of AAPOS,,
"Chen, H.-Y; Hou, Y.-L; Ma, X.-M; Xie, H.-Y; Ye, M; Bai, Y.-R.",CT and MRI in target delineation in primary hepatocellular carcinoma,2013,Cancer/Radiotherapie,,
"Lee, E.J; Ahn, K.J; Lee, E.K; Lee, Y.S; Kim, D.B.",Potential role of advanced MRI techniques for the peritumoural region in differentiating glioblastoma multiforme and solitary metastatic lesions,2013,Clinical Radiology,,
"Wey, H.-Y; Desai, V.R; Duong, T.Q.",A review of current imaging methods used in stroke research,2013,Neurological Research,,
"Cakir, O; Arslan, A; Inan, N; Ank, Y; Sarsoy, T; Gumustas, S; Akansel, G.",Comparison of the diagnostic performances of diffusion parameters indiffusion weighted imaging and diffusion tensor imaging ofbreast lesions,2013,European Journal of Radiology,,
"Fujita, K.",Neuroimaging in the differential diagnosis of prion disease,2013,Clinical Neurology,,
"O'connor, K.M; Barest, G; Moritani, T; Sakai, O; Mian, A.",Dazed and diffused: Making sense of diffusion abnormalities in neurologic pathologies,2013,British Journal of Radiology,,
"Takeuchi, M; Sasaki, S; Naiki, T; Kawai, N; Kohri, K; Hara, M; Shibamoto, Y.",MR imaging of urinary bladder cancer for T-staging: A review and a pictorial essay of diffusion-weighted imaging,2013,Journal of Magnetic Resonance Imaging,,
"Takeuchi, M; Matsuzaki, K; Uehara, H; Furumoto, H; Harada, M.",Clear cell adenocarcinoma arising from clear cell adenofibroma of the ovary: Value of DWI and DCE-MRI,2013,Magnetic Resonance in Medical Sciences,,
"Thomassin-Naggara, I; Bazot, M.",MRI and CT-scan in presumed benign ovarian tumors | IRM et TDM dans le diagnostic des tumeurs ovariennes pr’©sum’© es b’©nignes,2013,Journal de Gynecologie Obstetrique et Biologie de la Reproduction,,
"Cornud, F; Brolis, L; Delongchamps, N.B; Portalez, D; Malavaud, B; Renard-Penna, R; Mozer, P.",TRUS-MRI image registration: A paradigm shift in the diagnosis of significant prostate cancer,2013,Abdominal Imaging,,
"Ha’çsz, J; Westlye, E.T; Fj’_r, S; Espeseth, T; Lundervold, A; Lundervold, A.J.",General fluid-type intelligence is related to indices of white matter structure in middle-aged and old adults,2013,NeuroImage,,
"Cantu, R.C.",Role of diffusion tensor imaging MRI in detecting brain injury in asymptomatic contact athletes,2013,World Neurosurgery,,
"Trojsi, F; Corbo, D; Caiazzo, G; Piccirillo, G; Monsurr’_, M.R; Cirillo, S; Esposito, F; Tedeschi, G.",Motor and extramotor neurodegeneration in amyotrophic lateral sclerosis: A 3T high angular resolution diffusion imaging (HARDI) study,2013,Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,,
"Wharton, S; Bowtell, R.",Gradient echo based fiber orientation mapping using R2* and frequency difference measurements,2013,NeuroImage,,
"Wu, Q; Yang, R; Zhou, F; Hu, Y.",Comparison of whole-body MRI and skeletal scintigraphy for detection of bone metastatic tumors: A meta-analysis,2013,Surgical Oncology,,
"Afaq, A; Syed, R; Bomanji, J.",PET/MRI: A new technology in the field of molecular imaging,2013,British Medical Bulletin,,
"De Visschere, P.J.L; Vargas, H.A; Ost, P; De Meerleer, G.O; Villeirs, G.M.",Imaging treated prostate cancer,2013,Abdominal Imaging,,
"Liu, G; Bettegowda, C; Qiao, Y; Staedtke, V; Chan, K.W.Y; Bai, R; Li, Y; Riggins, G.J; Kinzler, K.W; Bulte, J.W.M; McMahon, M.T; Gilad, A.A; Vogelstein, B; Zhou, S; Van Zijl, P.C.M.",Noninvasive imaging of infection after treatment with tumor-homing bacteria using Chemical Exchange Saturation Transfer (CEST) MRI,2013,Magnetic Resonance in Medicine,,
"Karlsson, H.K; Tuulari, J.J; Hirvonen, J; Lepom’_ki, V; Parkkola, R; Hiltunen, J; Hannukainen, J.C; Soinio, M; Pham, T; Salminen, P; Nuutila, P; Nummenmaa, L.",Obesity is associated with white matter atrophy: A combined diffusion tensor imaging and voxel-based morphometric study,2013,Obesity,,
"Gempt, J; Gerhardt, J; Toth, V; H’_ttinger, S; Ryang, Y.U.-M.I; Wostrack, M; Krieg, S.M; Meyer, B; F’_rschler, A; Ringel, F.",Postoperative ischemic changes following brain metastasis resection as measured by diffusion-weighted magnetic resonance imaging: Clinical article,2013,Journal of Neurosurgery,,
"Dell'Acqua, F; Bodi, I; Slater, D; Catani, M; Modo, M.",MR diffusion histology and micro-tractography reveal mesoscale features of the human cerebellum,2013,Cerebellum,,
"Batalle, D; Mu’±oz-Moreno, E; Figueras, F; Bargallo, N; Eixarch, E; Gratacos, E.",Normalization of similarity-based individual brain networks from gray matter MRI and its association with neurodevelopment in infants with intrauterine growth restriction,2013,NeuroImage,,
"Hueper, K; Rong, S; Gutberlet, M; Hartung, D; Mengel, M; Lu, X; Haller, H; Wacker, F; Meier, M; Gueler, F.",T2 relaxation time and apparent diffusion coefficient for noninvasive assessment of renal pathology after acute kidney injury in mice: Comparison with histopathology,2013,Investigative Radiology,,
"Koz’çk, L.R.",Diffusion MRI measured white matter microstructure as a biomarker of neurodegeneration in preclinical Huntington's disease,2013,Ideggyogyaszati Szemle,,
"Antoniou, J; Epure, L.M; Michalek, A.J; Grant, M.P; Iatridis, J.C; Mwale, F.",Analysis of quantitative magnetic resonance imaging and biomechanical parameters on human discs with different grades of degeneration,2013,Journal of Magnetic Resonance Imaging,,
"Li, Y; Jewells, V; Kim, M; Chen, Y; Moon, A; Armao, D; Troiani, L; Markovic-Plese, S; Lin, W; Shen, D.",Diffusion tensor imaging based network analysis detects alterations of neuroconnectivity in patients with clinically early relapsing-remitting multiple sclerosis,2013,Human Brain Mapping,,
"Mathys, C; Aissa, J; Zu H’_rste, G.M; Reichelt, D.C; Antoch, G; Turowski, B; Hartung, H.P; Sheikh, K.A; Lehmann, H.C.",Peripheral neuropathy: assessment of proximal nerve integrity by diffusion tensor imaging.,2013,Muscle & nerve,,
"Liu, R; Liang, Z.-J; Liao, X.-X; Hu, C.-L; Jiang, L; Dai, G; Li, Y.-Q; Wei, H.-Y; Wu, G.-F; Li, X.",Enhanced external counterpulsation improves cerebral blood flow following cardiopulmonary resuscitation,2013,American Journal of Emergency Medicine,,
"Carter, J.S; Koopmeiners, J.S; Kuehn-Hajder, J.E; Metzger, G.J; Lakkadi, N; Downs Jr; L.S; Bolan, P.J.",Quantitative multiparametric MRI of ovarian cancer,2013,Journal of Magnetic Resonance Imaging,,
"Powers, J.P; McMillan, C.T; Brun, C.C; Yushkevich, P.A; Zhang, H; Gee, J.C; Grossman, M.",White matter disease correlates with lexical retrieval deficits in primary progressive aphasia,2013,Frontiers in Neurology,,
"Faletti, R; Cassinis, M.C; Fonio, P; Grasso, A; Battisti, G; Bergamasco, L; Gandini, G.",Diffusion-weighted imaging and apparent diffusion coefficient values versus contrast-enhanced MR imaging in the identification and characterisation of acute pyelonephritis,2013,European Radiology,,
"Beckmann, Y.Y; Gelal, F; Eren, S; ’_zdemir, V; Cancuni, O.",Diagnostics to look beyond the normal appearing brain tissue (NABT)? a neuroimaging study of patients with primary headache and NABT using magnetization transfer imaging and diffusion magnetic resonance,2013,Clinical Neuroradiology,,
"Barwick, T.D; Taylor, A; Rockall, A.",Functional imaging to predict tumor response in locally advanced cervical cancer,2013,Current Oncology Reports,,
"Govindan, R.M; Brescoll, J; Chugani, H.T.",Cerebellar pathway changes following cerebral hemispherectomy,2013,Journal of Child Neurology,,
"Lai, C.-L; Liou, L.-M; Lin, H.-F; Huang, I.-F; Chang, Y.-P; Lin, R.-T.",Predictive value of vertebral artery extracranial color-coded duplex sonography for ischemic stroke-related vertigo,2013,Kaohsiung Journal of Medical Sciences,,
"Martin, A; Garamendi, J.F; Schiavi, E.",MR-DTI Rician denoising | Eliminaci’_n de ruido Rician en MR-DTI,2013,DYNA (Colombia),,
"Balleyguier, C; Kolesnikov-Gauthier, H; Haie-Meder, C.",Post-therapeutic features of uterine cervical cancer | Aspects post-th’©rapeutiques du cancer du col ut’©rin,2013,Imagerie de la Femme,,
"Lee, E.J; Lim, G.-Y; Kim, S.-Y.",Extensive unilateral cerebral infarct in a full-term newborn,2013,Indian Journal of Pediatrics,,
"Ling, X; Huang, L; Liu, G; Tang, W; Li, X; Li, B; Wu, H; Liu, S.",Prospective evaluation of term neonate brain damage following preceding hypoxic sentinel events using enhanced T2* weighted angiography (eSWAN),2013,International Journal of Neuroscience,,
"Hulbert, S; Adeli, H.",EEG/MEG-and imaging-based diagnosis of Alzheimer's disease,2013,Reviews in the Neurosciences,,
"Tadokoro, Y; Sakaguchi, M; Yagita, Y; Furukado, S; Okazaki, S; Fujinaka, T; Kimura, T; Yoshimine, T; Mochizuki, H; Kitagawa, K.",Ischemic stroke in patients with solid gynecologic tract tumors and coagulopathy,2013,European Neurology,,
"Oikawa, K; Ogasawara, K; Saito, H; Yoshida, K; Saura, H; Sato, Y; Terasaki, K; Wada, T; Kubo, Y.",Combined measurement of cerebral and cerebellar blood flow on preoperative brain perfusion SPECT imaging predicts development of new cerebral ischemic events after endarterectomy for symptomatic unilateral cervical carotid stenosis,2013,Clinical Nuclear Medicine,,
"Pierce, D.M; Ricken, T; Holzapfel, G.A.","A hyperelastic biphasic fibre-reinforced model of articular cartilage considering distributed collagen fibre orientations: Continuum basis, computational aspects and applications",2013,Computer Methods in Biomechanics and Biomedical Engineering,,
"Durst, C.R; Raghavan, P; Shaffrey, M.E; Schiff, D; Lopes, M.B; Sheehan, J.P; Tustison, N.J; Patrie, J.T; Xin, W; Elias, W.J; Liu, K.C; Helm, G.A; Cupino, A; Wintermark, M.",Multimodal MR imaging model to predict tumor infiltration in patients with gliomas,2013,Neuroradiology,,
"Brabec, J; Chaudhary, S; Ng, Y.-T.",Ictal priapism as an autonomic manifestation of panayiotopoulos syndrome,2013,Journal of Child Neurology,,
"Heller, R.S; Dandamudi, V; Lanfranchi, M; Malek, A.M.",Effect of antiplatelet therapy on thromboembolism after flow diversion with the Pipeline Embolization Device: Clinical article,2013,Journal of Neurosurgery,,
"Prell, T; Grosskreutz, J.",The involvement of the cerebellum in amyotrophic lateral sclerosis,2013,Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,,
"Edlow, B.L; Giacino, J.T; Hirschberg, R.E; Gerrard, J; Wu, O; Hochberg, L.R.",Unexpected recovery of function after severe traumatic brain injury: The limits of early neuroimaging-based outcome prediction,2013,Neurocritical Care,,
"Parikh, N.A; He, L; Bonfante-Mejia, E; Hochhauser, L; Wilder, P.E; Burson, K; Kaur, S.",Automatically quantified diffuse excessive high signal intensity on mri predicts cognitive development in preterm infants,2013,Pediatric Neurology,,
"Mulkey, S.B; Swearingen, C.J; Melguizo, M.S; Schmitz, M.L; Ou, X; Ramakrishnaiah, R.H; Glasier, C.M; Bradley Schaefer, G; Bhutta, A.T.",Multi-tiered analysis of brain injury in neonates with congenital heart disease,2013,Pediatric Cardiology,,
"Ghafoori, M; Alavi, M; Aliyari Ghasabeh, M.",MRI in prostate cancer,2013,Iranian Red Crescent Medical Journal,,
"Spalletta, G; Fagioli, S; Caltagirone, C; Piras, F.",Brain microstructure of subclinical apathy phenomenology in healthy individuals,2013,Human Brain Mapping,,
"Traudt, C.M; McPherson, R.J; Bauer, L.A; Richards, T.L; Burbacher, T.M; McAdams, R.M; Juul, S.E.",Concurrent erythropoietin and hypothermia treatment improve outcomes in a term nonhuman primate model of perinatal asphyxia,2013,Developmental Neuroscience,,
"Nicoli, F; Scalzo, F; Saver, J.L; Pautot, F; Mitulescu, A; Chaibi, Y; Girard, N; Salamon, N; Liebeskind, D.S.",The combination of baseline magnetic resonance perfusion-weighted imaging-derived tissue volume with severely prolonged arterial-tissue delay and diffusion-weighted imaging lesion volume is predictive of MCA-M1 recanalization in patients treated with endovascular thrombectomy,2013,Neuroradiology,,
"Barcia, G; Desguerre, I; Carmona, O; Barnerias, C; Chemaly, N; Gitiaux, C; Brunelle, F; Dulac, O; Boddaert, N; Nabbout, R.",Hemiconvulsion-hemiplegia syndrome revisited: Longitudinal MRI findings in 10 children,2013,Developmental Medicine and Child Neurology,,
"Gano, D; Sargent, M.A; Miller, S.P; Connolly, M.B; Wong, P; Glass, H.C; Poskitt, K.J; Chau, V.",MRI findings in infants with infantile spasms after neonatal hypoxic-ischemic encephalopathy,2013,Pediatric Neurology,,
"Di Costanzo, A; Scarabino, T; Trojsi, F; Popolizio, T; Bonavita, S; de Cristofaro, M; Conforti, R; Cristofano, A; Colonnese, C; Salvolini, U; Tedeschi, G.",Recurrent glioblastoma multiforme versus radiation injury: a multiparametric 3-T MR approach,2013,Radiologia Medica,,
"Griffin, N; Goh, V.",Functional imaging of the bowel,2013,Abdominal Imaging,,
"Ghanem, A; Kocurek, J; Sinning, J.-M; Wagner, M; Becker, B.V; Vogel, M; Schr’_der, T; Wolfsgruber, S; Vasa-Nicotera, M; Hammerstingl, C; Schwab, J.O; Thomas, D; Werner, N; Grube, E; Nickenig, G; M’_ller, A.",Cognitive trajectory after transcatheter aortic valve implantation,2013,Circulation: Cardiovascular Interventions,,
"Kotecha, M; Klatt, D; Magin, R.L.","Monitoring cartilage tissue engineering using magnetic resonance spectroscopy, imaging, and elastography",2013,Tissue Engineering - Part B: Reviews,,
"Sommer, B; Kasper, B.S; Coras, R; Blumcke, I; Hamer, H.M; Buchfelder, M; Roessler, K.",Surgical management of epilepsy due to cerebral cavernomas using neuronavigation and intraoperative MR imaging,2013,Neurological Research,,
"Liu, C; Liang, C; Liu, Z; Zhang, S; Huang, B.",Intravoxel incoherent motion (IVIM) in evaluation of breast lesions:Comparison with conventional DWI,2013,European Journal of Radiology,,
"Inoue, T; Tamura, A; Tsutsumi, K; Saito, I; Saito, N.",Surgical embolectomy for large vessel occlusion of anterior circulation,2013,British Journal of Neurosurgery,,
"Grillo, E.","Seizure-induced excitotoxicity: Just consideringit could be a fallacy; Comment on: Cianfoni A, Caulo M, Cerase A, et al.Seizure-induced brain lesions: A wide spectrumof variably reversible MRI abnormalities(in press)",2013,European Journal of Radiology,,
"Liu, J; Lan, L; Li, G; Yan, X; Nan, J; Xiong, S; Yin, Q; Von Deneen, K.M; Gong, Q; Liang, F; Qin, W; Tian, J.",Migraine-related gray matter and white matter changes at a 1-year follow-up evaluation,2013,Journal of Pain,,
"De Margerie-Mellon, C; Turc, G; Tisserand, M; Naggara, O; Calvet, D; Legrand, L; Meder, J.-F; Mas, J.-L; Baron, J.-C; Oppenheim, C.",Can DWI-ASPECTS substitute for lesion volume in acute stroke?,2013,Stroke,,
"Lasko, L; Huang, X; Voorbach, M.J; Lewis, L.G.R; Stavropoulos, J; Carriker, J; Seifert, T.R; Baker, S.J; Upadhyay, J.",Multimodal assessment of nervous and immune system responses following sciatic nerve injury,2013,Pain,,
"Pettersson-Yeo, W; Benetti, S; Marquand, A.F; Dell'Acqua, F; Williams, S.C.R; Allen, P; Prata, D; McGuire, P; Mechelli, A.","Using genetic, cognitive and multi-modal neuroimaging data to identify ultra-high-risk and first-episode psychosis at the individual level",2013,Psychological Medicine,,
"Runge, V.M.",Current technological advances in magnetic resonance with critical impact for clinical diagnosis and therapy,2013,Investigative Radiology,,
"Buda, P; Piekutowska-Abramczuk, D; Karkuci’±ska-Wi_©ckowska, A; Jurkiewicz, E; CheÅästowska, S; Pajdowska, M; MigdaÅä, M; KsiaÕ_zyk, J; Kotulska, K; Pronicka, E.","Drop attacks"" as first clinical symptoms in a child carrying MTTK m.8344A>G mutation""",2013,Folia Neuropathologica,,
"Pak, S; Park, S; Ryu, J; Hong, S; Song, S.H; You, D; Jeong, I.G; Song, C; Hong, J.H; Kim, C.-S; Ahn, H.",Preoperative factors predictive of posterolateral extracapsular extension after radical prostatectomy,2013,Korean Journal of Urology,,
"Gupta, M; Rana, P; Trivedi, R; Kumar, B.S.H; Khan, A.R; Soni, R; Rathore, R.K.S; Khushu, S.",Comparative evaluation of brain neurometabolites and DTI indices following whole body and cranial irradiation: A magnetic resonance imaging and spectroscopy study,2013,NMR in Biomedicine,,
"Kuru, T.H; Roethke, M.C; Rieker, P; Roth, W; Fenchel, M; Hohenfellner, M; Schlemmer, H.-P; Hadaschik, B.A.",Histology core-specific evaluation of the European Society of Urogenital Radiology (ESUR) standardised scoring system of multiparametric magnetic resonance imaging (mpMRI) of the prostate,2013,BJU International,,
"Albertsen, P.C; Marks, L.S.",MRI before prostate biopsydyes or no?,2013,Journal of Urology,,
"Ostwaldt, A.-C; Galinovic, I; Grosse-Dresselhaus, F; Neeb, L; Villringer, K; Rocco, A; Nolte, C.H; Jungeh’_lsing, G.J; Fiebach, J.B.",MRI follow-up after 24 h is an accurate surrogate parameter for treatment success after thrombolysis,2013,Cerebrovascular Diseases,,
"Filippi, M; van den Heuvel, M.P; Fornito, A; He, Y; Hulshoff Pol, H.E; Agosta, F; Comi, G; Rocca, M.A.",Assessment of system dysfunction in the brain through MRI-based connectomics,2013,The Lancet Neurology,,
"Wang, C; Wang, X; Anderson, S; Zhang, X.",Biocompatible microfabricated magnetic cylinders as contrast agents for magnetic resonance imaging,2013,"2013 Transducers and Eurosensors XXVII: The 17th International Conference on Solid-State Sensors, Actuators and Microsystems, TRANSDUCERS and EUROSENSORS 2013",,
"Sasamoto, A; Miyata, J; Kubota, M; Murai, T.",[Connectivity analyses of white matters in schizophrenia].,2013,Seishin shinkeigaku zasshi = Psychiatria et neurologia Japonica,,
"Rogge, H; Erbe, M; Buzug, T.M; L’_dtke-Buzug, K.",Simulation of the magnetization dynamics of diluted ferrofluids in medical applications,2013,Biomedizinische Technik,,
"Wattjes, M.P; Richert, N.D; Killestein, J; De Vos, M; Sanchez, E; Snaebjornsson, P; Cadavid, D; Barkhof, F.",The chameleon of neuroinflammation: Magnetic resonance imaging characteristics of natalizumab-associated progressive multifocal leukoencephalopathy,2013,Multiple Sclerosis,,
"Zukotynski, K; Haider, M.A.",Imaging in Prostate Carcinoma,2013,Hematology/Oncology Clinics of North America,,
"Hu, H.H; Kan, H.E.",Quantitative proton MR techniques for measuring fat,2013,NMR in Biomedicine,,
"Berkhemer, O.A; Kamalian, S; Gonz’çlez, R.G; Majoie, C.B.L.M; Yoo, A.J.",Imaging Biomarkers for Intra-arterial Stroke Therapy,2013,Cardiovascular Engineering and Technology,,
"Tenney, J.R; Prada, C.E; Hopkin, R.J; Hallinan, B.E.",Early spinal cord and brainstem involvement in infantile leigh syndrome possibly caused by a novel variant,2013,Journal of Child Neurology,,
"Sempere, A.P; Feliu-Rey, E; Sanchez-Perez, R; Nieto-Navarro, J.",Rituximab for tumefactive demyelination refractory to corticosteroids and plasma exchange,2013,"Journal of Neurology, Neurosurgery and Psychiatry",,
"Jeong, I.G; Lim, J.H; You, D; Kim, M.-H; Choi, H.J; Kim, J.K; Cho, K.-S; Hong, J.H; Ahn, H; Kim, C.-S.",Incremental value of magnetic resonance imaging for clinically high risk prostate cancer in 922 radical prostatectomies,2013,Journal of Urology,,
"Masselli, G; Derchi, L; McHugo, J; Rockall, A; Vock, P; Weston, M; Spencer, J.",Acute abdominal and pelvic pain in pregnancy: ESUR recommendations,2013,European Radiology,,
"Yamamoto, J; Kakeda, S; Takahashi, M; Idei, M; Nakano, Y; Soejima, Y; Saito, T; Akiba, D; Shibata, E; Korogi, Y; Nishizawa, S.",Severe subarachnoid hemorrhage associated with cerebral venous thrombosis in early pregnancy: A case report,2013,Journal of Emergency Medicine,,
"Crow, T.J.",The XY gene hypothesis of psychosis: Origins and current status,2013,"American Journal of Medical Genetics, Part B: Neuropsychiatric Genetics",,
"Hu, Y; Gurev, V; Constantino, J; Trayanova, N.",Efficient preloading of the ventricles by a properly timed atrial contraction underlies stroke work improvement in the acute response to cardiac resynchronization therapy,2013,Heart Rhythm,,
"Eklund, A; Dufort, P; Forsberg, D; LaConte, S.M.","Medical image processing on the GPU - Past, present and future",2013,Medical Image Analysis,,
"Mermigkis, C; Bouloukaki, I; Mastorodemos, V; Plaitakis, A; Alogdianakis, V; Siafakas, N; Schiza, S.","Medical treatment with thiamine, coenzyme Q, vitamins e and C, and carnitine improved obstructive sleep apnea in an adult case of Leigh disease",2013,Sleep and Breathing,,
"Chiapponi, C; Piras, F; Fagioli, S; Piras, F; Caltagirone, C; Spalletta, G.",Age-related brain trajectories in schizophrenia: A systematic review of structural MRI studies,2013,Psychiatry Research - Neuroimaging,,
"Korchi, A.M; Garibotto, V; Lovblad, K.-O; Haller, S; Weber, D.C.",Radiologic patterns of necrosis after proton therapy of skull base tumors,2013,Canadian Journal of Neurological Sciences,,
"Fu, L; Yang, X.-T.",Study on MRI features and its clinical histopathological characteristics of triple-negative breast cancer,2013,Cancer Research and Clinic,,
"Emsell, L; Chaddock, C; Forde, N; Van Hecke, W; Barker, G.J; Leemans, A; Sunaert, S; Walshe, M; Bramon, E; Cannon, D; Murray, R; McDonald, C.",White matter microstructural abnormalities in families multiply affected with bipolar I disorder: a diffusion tensor tractography study,2013,Psychological Medicine,,
"Kim, J.W; Kim, S.J; Yoon, C.W; Park, C.-H; Kang, K.W; Kim, S.K; Kim, Y.-H; Bang, O.Y.",Association between the amount of right-to-left shunt and infarct patterns in patients with cryptogenic embolic stroke: A transcranial Doppler study,2013,International Journal of Stroke,,
"Mizukuchi, T; Fujii, M; Hayashi, Y; Tsuzaka, M.",Adapting non-local means of de-noising in intraoperative magnetic resonance imaging for brain tumor surgery,2013,Radiological Physics and Technology,,
"Bokacheva, L; Kaplan, J.B; Giri, D.D; Patil, S; Gnanasigamani, M; Nyman, C.G; Deasy, J.O; Morris, E.A; Thakur, S.B.",Intravoxel incoherent motion diffusion-weighted MRI at 3.0 T differentiates malignant breast lesions from benign lesions and breast parenchyma,2013,Journal of Magnetic Resonance Imaging,,
"Bernardin, L; Douglas, N.H.M; Collins, D.J; Giles, S.L; O'Flynn, E.A.M; Orton, M; deSouza, N.M.",Diffusion-weighted magnetic resonance imaging for assessment of lung lesions: repeatability of the apparent diffusion coefficient measurement,2013,European Radiology,,
"Sah, R.G; Agarwal, K; Sharma, U; Parshad, R; Seenu, V; Jagannathan, N.R.",Characterization of malignant breast tissue of breast cancer patients and the normal breast tissue of healthy lactating women volunteers using diffusion MRI and in vivo 1H MR spectroscopy,2013,Journal of Magnetic Resonance Imaging,,
"Fazekas, F; Enzinger, C; Schmidt, R; Dichgans, M; Gaertner, B; Jungehulsing, R.M.G.J; Hennerici, M.G; Heuschmann, P; Holzhausen, M; Kaps, M; Kessler, C; Martus, P; Putaala, J; Ropele, S; Tanislav, C; Tatlisumak, T; Norrving, B; Rolfs, A.",MRI in acute cerebral ischemia of theyoung the stroke in young fabry patients (sifap1) study,2013,Neurology,,
"Wang, D; Hui, S.C.N; Shi, L; Huang, W.-H; Wang, T; Mok, V.C.T; Chu, W.C.W; Ahuja, A.T.",Application of multimodal MR imaging on studying Alzheimer's disease: A survey,2013,Current Alzheimer Research,,
"Akoudad, S; De Groot, M; Koudstaal, P.J; Van Der Lugt, A; Niessen, W.J; Hofman, A; Ikram, M.A; Vernooij, M.W.",Cerebral microbleeds are related to loss of white matter structural integrity,2013,Neurology,,
"Nah, H.-W; Kwon, S.U; Kang, D.-W; Lee, D.-H; Kim, J.S.",Diagnostic and prognostic value of multimodal MRI in transient ischemic attack,2013,International Journal of Stroke,,
"Oki, H; Hayashida, Y; Oki, H; Kakeda, S; Aoki, T; Taguchi, M; Harada, M; Korogi, Y.",DWI findings of autoimmune pancreatitis: Comparison between symptomatic and asymptomatic patients,2013,Journal of Magnetic Resonance Imaging,,
"Engelhorn, T; D’_rfler, A.",Radiological diagnosis of cerebral metastases | Radiologische Diagnostik zerebraler Metastasen,2013,Onkologe,,
"Pican’_o, M.R; Christensen, S; Campbell, B.C.V; Churilov, L; Parsons, M.W; Desmond, P.M; Barber, P.A; Levi, C.R; Bladin, C.F; Donnan, G.A; Davis, S.M.",Reperfusion after 4Îà5 hours reduces infarct growth and improves clinical outcomes,2013,International Journal of Stroke,,
"Strotmann, B; Heidemann, R.M; Anwander, A; Weiss, M; Trampel, R; Villringer, A; Turner, R.",High-resolution MRI and diffusion-weighted imaging of the human habenula at 7 tesla,2013,Journal of Magnetic Resonance Imaging,,
"Asil, K; Gunduz, Y; Ayhan, L.T; Aksoy, Y.E; Yildiz, C.",Spontaneous rupture of intracranial dermoid tumor in a patient with vertigo. Computed tomography and magnetic resonance imaging findings,2013,Polish Journal of Radiology,,
"Anderson, S.W; Barry, B; Soto, J; Ozonoff, A; O'Brien, M; Jara, H.","Characterizing non-gaussian, high b-value diffusion in liver fibrosis: Stretched exponential and diffusional kurtosis modeling",2013,Journal of Magnetic Resonance Imaging,,
"Baig, M.M; Phillips, M.",A case of Creutzfeldt-Jakob disease: Diagnostic dilemmas of a rapidly fatal disease,2013,Infectious Disease Reports,,
"Schroeter, M.L; Sacher, J; Steiner, J; Schoenknecht, P; Mueller, K.",Serum S100B represents a new biomarker for mood disorders,2013,Current Drug Targets,,
"Rosso, C; Samson, Y.",The ischemic penumbra: The location rather than the volume of recovery determines outcome,2013,Current Opinion in Neurology,,
"Nguyen, C; Fan, Z; Sharif, B; He, Y; Dharmakumar, R; Berman, D.S; Li, D.",In vivo three-dimensional high resolution cardiac diffusion-weighted MRI: A motion compensated diffusion-prepared balanced steady-state free precession approach,2013,Magnetic Resonance in Medicine,,
