Authors,Title,Year,Sourcetitle,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited,Link,Document Type,Source,EID
"Rajan, T.R.T; Kangun, N; Rodrigues, A.F.",A prescription for overcoming the marketing failures of MRI sellers,1987,Journal of Health Care Marketing,7,2,,70,76,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0023270112&partnerID=40&md5=5447e048e29a2b71dccaba605a5f6536,Article,Scopus,2-s2.0-0023270112
"Kjaer, L; Thomsen, C; Hendriksen, O; Ring, P; Stubgaard, M; Pedersen, E.J.",Evaluation of relaxation time measurements by magnetic resonance imaging. A phantom study,1987,Acta Radiologica,28,3,,345,351,,12,http://www.scopus.com/inward/record.url?eid=2-s2.0-0023247388&partnerID=40&md5=0f07ae57fa257a5f7d463ba6b1f6f3ea,Article,Scopus,2-s2.0-0023247388
"Hillman, B.J.",Government health policy and the diffusion of new medical devices,1986,Health Services Research,21,5,,681,711,,8,http://www.scopus.com/inward/record.url?eid=2-s2.0-0022921879&partnerID=40&md5=07ef36fcfe67bd16700f85467fcece39,Article,Scopus,2-s2.0-0022921879
"Berry, I; Moseley, M; Germano, I.M; Ishige, N; Nishimura, M.C; Bartkowski, H.M; Pitts, L.H; Brant-Zawadzki, M.",Combined magnetic resonance imaging and spectroscopy in experimental regional injury of the brain. Ischemia and impact trauma.,1986,"Acta Radiologica, Supplement",369,,,338,349,,9,http://www.scopus.com/inward/record.url?eid=2-s2.0-0022821389&partnerID=40&md5=20f39fb8dd2ea11bd50925f68337fc7c,Article,Scopus,2-s2.0-0022821389
"Evens, R.G.",The diffusion of MRI in the United States: what is fact and what is speculation.,1986,AJR. American journal of roentgenology,147,4,,856,857,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0022796472&partnerID=40&md5=4a2eda8a9229fc647e5c32787af480aa,Editorial,Scopus,2-s2.0-0022796472
"Anderson, Gerard F; Erickson, Jane",MEDICARE'S PROSPECTIVE PAYMENT SYSTEM: PAYING FOR MAGNETIC RESONANCE IMAGING.,1986,Engineering in medicine & biology,5,3,,26,28,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0022785713&partnerID=40&md5=acdab6410e8c89788229965388f69526,Article,Scopus,2-s2.0-0022785713
"Hillman, A.L; Schwartz, J.S.",The diffusion of MRI: Patterns of siting and ownership in an era of changing incentives,1986,American Journal of Roentgenology,146,5,,963,969,,6,http://www.scopus.com/inward/record.url?eid=2-s2.0-0022590095&partnerID=40&md5=b6c3c2849ee2ebc0e7f160ee86054e8e,Article,Scopus,2-s2.0-0022590095
"Steinberg, E.P.",The status of MRI in 1986: Rates of adoption in the United States and worldwide,1986,American Journal of Roentgenology,147,3,,453,455,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-0022517303&partnerID=40&md5=cc993368187804f1898fbef175ebe8b6,Article,Scopus,2-s2.0-0022517303
"Hillman, A.L; Schwartz, J.S.",The adoption and diffusion of CT and MRI in the United States. A comparative analysis,1985,Medical Care,23,11,,1283,1294,,29,http://www.scopus.com/inward/record.url?eid=2-s2.0-0022216074&partnerID=40&md5=654a89a2f997e68fdf34be16422f5aa0,Article,Scopus,2-s2.0-0022216074
"Gross, P.F.",Technology assessment in different nations and lessons from a cross-sectional survey of magnetic resonance imaging (MRI) diffusion.,1985,International journal of technology assessment in health care,1,3,,515,536,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0022294602&partnerID=40&md5=b6207c33b78287fa8e607caca52cc0cc,Article,Scopus,2-s2.0-0022294602
"Kurita, Susumu, Satomura, Takehiko, Yoshikawa, Tomoaki",AIR TRACER EXPERIMENT AROUND MT. TSUKUBA BY TWO DOPPLER RADARS.,1985,Atmospheric Environment - Part A General Topics,20,10,,2069,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0022210148&partnerID=40&md5=049d69a80026c48df310877d7230928a,Article,Scopus,2-s2.0-0022210148
"Edelman, R.R; Brady, T.J.",Clinical applications of magnetic resonance imaging,1985,Medical Instrumentation,19,6,,257,260,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0022160624&partnerID=40&md5=748a54fcf0191e5985c573b38ee34822,Article,Scopus,2-s2.0-0022160624
null,Is it now time to acquire magnetic resonance imaging? Issues and concerns.,1985,Journal of health care technology,2,1,,23,50,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0022079150&partnerID=40&md5=ca5d052de04abfbb2c2f54bb986db899,Article,Scopus,2-s2.0-0022079150
"Yamanashi, W.S; Anderson, D.W; Lester, P.D; Herrick, D; Frazer, J.W.","Dependence of magnetic resonance image (MRI) intensity values on relaxation times, pulse intervals and other signal attenuation factors.",1985,Physiological chemistry and physics and medical NMR,17,1,,81,100,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-0021778207&partnerID=40&md5=96a783e15c91f66152d48ef1432b974e,Article,Scopus,2-s2.0-0021778207
"Wesbey, G.E; Moseley, M.E; Ehman, R.L.",Translational molecular self-diffusion in magnetic resonance imaging. II. Measurement of the self-diffusion coefficient,1984,Investigative Radiology,19,6,,491,498,,47,http://www.scopus.com/inward/record.url?eid=2-s2.0-0021690998&partnerID=40&md5=9153c425d7cf9a756e226164892438fe,Article,Scopus,2-s2.0-0021690998
"Hillman, B.J; Winkler, J.D; Phelps, C.E; Aroesty, J; Williams, A.P.",Adoption and diffusion of a new imaging technology: A magnetic resonance imaging prospective,1984,American Journal of Roentgenology,143,4,,913,917,,8,http://www.scopus.com/inward/record.url?eid=2-s2.0-0021131765&partnerID=40&md5=5a7804bcf66962e9c1912ef0a5205778,Article,Scopus,2-s2.0-0021131765
"Perry, S.",Diffusion of new technologies: rational and irrational.,1984,Journal of health care technology,1,2,,73,88,,4,http://www.scopus.com/inward/record.url?eid=2-s2.0-0021493557&partnerID=40&md5=d31e89fa1d878d190ada9098855499e7,Article,Scopus,2-s2.0-0021493557
"Smith, T.B.",Some observations of pollutant transport associated with elevated plumes,1981,Atmospheric Environment,15,11-Oct,,2197,2203,,1,http://www.scopus.com/inward/record.url?eid=2-s2.0-0013729305&partnerID=40&md5=14082f0cfda6f7333616887aedc08dfd,[No source information available],Scopus,2-s2.0-0013729305
"Blumenthal, D.L; Richards, L.W; Macias, E.S; Bergstrom, R.W; Wilson, W.E; Bhardwaja, P.S.",Effects of a coal-fired power plant and other sources on southwestern visibility (interim summary of EPA'S project VISTTA),1981,Atmospheric Environment (1967),15,11-Oct,,1955,1969,,7,http://www.scopus.com/inward/record.url?eid=2-s2.0-0019696303&partnerID=40&md5=71c25bb4867d0aa8bf7164fb084aa2d5,Article,Scopus,2-s2.0-0019696303
"Hidy, G.M; Green, W; Alkezweeny, A.",Inadvertent weather modification and Los Angeles smog,1972,Journal of Colloid And Interface Science,39,1,,266,271,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-49649137439&partnerID=40&md5=10ea19d105fae190085fbea75194a1a2,Article,Scopus,2-s2.0-49649137439
